quarter,personal_characteristics,position_begin,position_end,number_of_persons
2003-1,Age: 15-25 years,employed,TOTAL,784
2003-1,Age: 15-25 years,employed,employed,735
2003-1,Age: 15-25 years,employed,unemployed,15
2003-1,Age: 15-25 years,employed,non labourforce,35
2003-1,Age: 15-25 years,unemployed,TOTAL,82
2003-1,Age: 15-25 years,unemployed,employed,28
2003-1,Age: 15-25 years,unemployed,unemployed,27
2003-1,Age: 15-25 years,unemployed,non labourforce,27
2003-1,Age: 15-25 years,non labourforce,TOTAL,1060
2003-1,Age: 15-25 years,non labourforce,employed,74
2003-1,Age: 15-25 years,non labourforce,unemployed,56
2003-1,Age: 15-25 years,non labourforce,non labourforce,930
2003-1,Age: 25-45 years,TOTAL,TOTAL,4901
2003-1,Age: 25-45 years,TOTAL,employed,3859
2003-1,Age: 25-45 years,TOTAL,unemployed,197
2003-1,Age: 25-45 years,TOTAL,non labourforce,845
2003-1,Age: 25-45 years,employed,TOTAL,3870
2003-1,Age: 25-45 years,employed,employed,3785
2003-1,Age: 25-45 years,employed,unemployed,45
2003-1,Age: 25-45 years,employed,non labourforce,40
2003-1,Age: 25-45 years,unemployed,TOTAL,185
2003-1,Age: 25-45 years,unemployed,employed,42
2003-1,Age: 25-45 years,unemployed,unemployed,94
2003-1,Age: 25-45 years,unemployed,non labourforce,49
2003-1,Age: 25-45 years,non labourforce,TOTAL,846
2003-1,Age: 25-45 years,non labourforce,employed,32
2003-1,Age: 25-45 years,non labourforce,unemployed,58
2003-1,Age: 25-45 years,non labourforce,non labourforce,756
2003-1,Age: 45-65 years,TOTAL,TOTAL,4065
2003-1,Age: 45-65 years,TOTAL,employed,2263
2003-1,Age: 45-65 years,TOTAL,unemployed,97
2003-1,Age: 45-65 years,TOTAL,non labourforce,1706
2003-1,Age: 45-65 years,employed,TOTAL,2290
2003-1,Age: 45-65 years,employed,employed,2230
2003-1,Age: 45-65 years,employed,unemployed,15
2003-1,Age: 45-65 years,employed,non labourforce,45
2003-1,Age: 45-65 years,unemployed,TOTAL,95
2003-1,Age: 45-65 years,unemployed,employed,14
2003-1,Age: 45-65 years,unemployed,unemployed,55
2003-1,Age: 45-65 years,unemployed,non labourforce,26
2003-1,Age: 45-65 years,non labourforce,TOTAL,1680
2003-1,Age: 45-65 years,non labourforce,employed,19
2003-1,Age: 45-65 years,non labourforce,unemployed,28
2003-1,Age: 45-65 years,non labourforce,non labourforce,1634
2003-1,Education level: lower,TOTAL,TOTAL,3948
2003-1,Education level: lower,TOTAL,employed,1864
2003-1,Education level: lower,TOTAL,unemployed,158
2003-1,Education level: lower,TOTAL,non labourforce,1926
2003-1,Education level: lower,employed,TOTAL,1841
2003-1,Education level: lower,employed,employed,1779
2003-1,Education level: lower,employed,unemployed,21
2003-1,Education level: lower,employed,non labourforce,41
2003-1,Education level: lower,unemployed,TOTAL,137
2003-1,Education level: lower,unemployed,employed,24
2003-1,Education level: lower,unemployed,unemployed,64
2003-1,Education level: lower,unemployed,non labourforce,49
2003-1,Education level: lower,non labourforce,TOTAL,1970
2003-1,Education level: lower,non labourforce,employed,61
2003-1,Education level: lower,non labourforce,unemployed,73
2003-1,Education level: lower,non labourforce,non labourforce,1836
2003-1,Education level: middle,TOTAL,TOTAL,4507
2003-1,Education level: middle,TOTAL,employed,3138
2003-1,Education level: middle,TOTAL,unemployed,147
2003-1,Education level: middle,TOTAL,non labourforce,1222
2003-1,Education level: middle,employed,TOTAL,3137
2003-1,Education level: middle,employed,employed,3047
2003-1,Education level: middle,employed,unemployed,34
2003-1,Education level: middle,employed,non labourforce,57
2003-1,Education level: middle,unemployed,TOTAL,143
2003-1,Education level: middle,unemployed,employed,41
2003-1,Education level: middle,unemployed,unemployed,65
2003-1,Education level: middle,unemployed,non labourforce,37
2003-1,Education level: middle,non labourforce,TOTAL,1227
2003-1,Education level: middle,non labourforce,employed,50
2003-1,Education level: middle,non labourforce,unemployed,49
2003-1,Education level: middle,non labourforce,non labourforce,1128
2003-1,Education level: higher,TOTAL,TOTAL,2365
2003-1,Education level: higher,TOTAL,employed,1904
2003-1,Education level: higher,TOTAL,unemployed,81
2003-1,Education level: higher,TOTAL,non labourforce,380
2003-1,Education level: higher,employed,TOTAL,1916
2003-1,Education level: higher,employed,employed,1874
2003-1,Education level: higher,employed,unemployed,19
2003-1,Education level: higher,employed,non labourforce,23
2003-1,Education level: higher,unemployed,TOTAL,74
2003-1,Education level: higher,unemployed,employed,17
2003-1,Education level: higher,unemployed,unemployed,44
2003-1,Education level: higher,unemployed,non labourforce,12
2003-1,Education level: higher,non labourforce,TOTAL,375
2003-1,Education level: higher,non labourforce,employed,13
2003-1,Education level: higher,non labourforce,unemployed,17
2003-1,Education level: higher,non labourforce,non labourforce,345
2003-1,Education level: unknown,TOTAL,TOTAL,73
2003-1,Education level: unknown,TOTAL,employed,53
2003-1,Education level: unknown,TOTAL,unemployed,5
2003-1,Education level: unknown,TOTAL,non labourforce,15
2003-1,Education level: unknown,employed,TOTAL,51
2003-1,Education level: unknown,employed,employed,50
2003-1,Education level: unknown,employed,unemployed,
2003-1,Education level: unknown,employed,non labourforce,
2003-1,Education level: unknown,unemployed,TOTAL,7
2003-1,Education level: unknown,unemployed,employed,2
2003-1,Education level: unknown,unemployed,unemployed,2
2003-1,Education level: unknown,unemployed,non labourforce,3
2003-1,Education level: unknown,non labourforce,TOTAL,15
2003-1,Education level: unknown,non labourforce,employed,
2003-1,Education level: unknown,non labourforce,unemployed,2
2003-1,Education level: unknown,non labourforce,non labourforce,11
2003-1,Job level: elementary,TOTAL,TOTAL,535
2003-1,Job level: elementary,TOTAL,employed,509
2003-1,Job level: elementary,TOTAL,unemployed,8
2003-1,Job level: elementary,TOTAL,non labourforce,18
2003-1,Job level: elementary,employed,TOTAL,489
2003-1,Job level: elementary,employed,employed,463
2003-1,Job level: elementary,employed,unemployed,8
2003-1,Job level: elementary,employed,non labourforce,18
2003-1,Job level: elementary,unemployed,TOTAL,19
2003-1,Job level: elementary,unemployed,employed,19
2003-1,Job level: elementary,unemployed,unemployed,
2003-1,Job level: elementary,unemployed,non labourforce,
2003-1,Job level: elementary,non labourforce,TOTAL,27
2003-1,Job level: elementary,non labourforce,employed,27
2003-1,Job level: elementary,non labourforce,unemployed,
2003-1,Job level: elementary,non labourforce,non labourforce,
2003-1,Job level: lower,TOTAL,TOTAL,1725
2003-1,Job level: lower,TOTAL,employed,1667
2003-1,Job level: lower,TOTAL,unemployed,20
2003-1,Job level: lower,TOTAL,non labourforce,38
2003-1,Job level: lower,employed,TOTAL,1640
2003-1,Job level: lower,employed,employed,1582
2003-1,Job level: lower,employed,unemployed,20
2003-1,Job level: lower,employed,non labourforce,38
2003-1,Job level: lower,unemployed,TOTAL,32
2003-1,Job level: lower,unemployed,employed,32
2003-1,Job level: lower,unemployed,unemployed,
2003-1,Job level: lower,unemployed,non labourforce,
2003-1,Job level: lower,non labourforce,TOTAL,53
2003-1,Job level: lower,non labourforce,employed,53
2003-1,Job level: lower,non labourforce,unemployed,
2003-1,Job level: lower,non labourforce,non labourforce,
2003-1,Job level: middle,TOTAL,TOTAL,2737
2003-1,Job level: middle,TOTAL,employed,2674
2003-1,Job level: middle,TOTAL,unemployed,27
2003-1,Job level: middle,TOTAL,non labourforce,36
2003-1,Job level: middle,employed,TOTAL,2691
2003-1,Job level: middle,employed,employed,2628
2003-1,Job level: middle,employed,unemployed,27
2003-1,Job level: middle,employed,non labourforce,36
2003-1,Job level: middle,unemployed,TOTAL,21
2003-1,Job level: middle,unemployed,employed,21
2003-1,Job level: middle,unemployed,unemployed,
2003-1,Job level: middle,unemployed,non labourforce,
2003-1,Job level: middle,non labourforce,TOTAL,26
2003-1,Job level: middle,non labourforce,employed,26
2003-1,Job level: middle,non labourforce,unemployed,
2003-1,Job level: middle,non labourforce,non labourforce,
2003-1,Job level: higher,TOTAL,TOTAL,1486
2003-1,Job level: higher,TOTAL,employed,1451
2003-1,Job level: higher,TOTAL,unemployed,13
2003-1,Job level: higher,TOTAL,non labourforce,22
2003-1,Job level: higher,employed,TOTAL,1466
2003-1,Job level: higher,employed,employed,1431
2003-1,Job level: higher,employed,unemployed,13
2003-1,Job level: higher,employed,non labourforce,22
2003-1,Job level: higher,unemployed,TOTAL,7
2003-1,Job level: higher,unemployed,employed,7
2003-1,Job level: higher,unemployed,unemployed,
2003-1,Job level: higher,unemployed,non labourforce,
2003-1,Job level: higher,non labourforce,TOTAL,13
2003-1,Job level: higher,non labourforce,employed,13
2003-1,Job level: higher,non labourforce,unemployed,
2003-1,Job level: higher,non labourforce,non labourforce,
2003-1,Job level: scientific,TOTAL,TOTAL,582
2003-1,Job level: scientific,TOTAL,employed,572
2003-1,Job level: scientific,TOTAL,unemployed,5
2003-1,Job level: scientific,TOTAL,non labourforce,4
2003-1,Job level: scientific,employed,TOTAL,575
2003-1,Job level: scientific,employed,employed,566
2003-1,Job level: scientific,employed,unemployed,5
2003-1,Job level: scientific,employed,non labourforce,4
2003-1,Job level: scientific,unemployed,TOTAL,3
2003-1,Job level: scientific,unemployed,employed,3
2003-1,Job level: scientific,unemployed,unemployed,
2003-1,Job level: scientific,unemployed,non labourforce,
2003-1,Job level: scientific,non labourforce,TOTAL,4
2003-1,Job level: scientific,non labourforce,employed,4
2003-1,Job level: scientific,non labourforce,unemployed,
2003-1,Job level: scientific,non labourforce,non labourforce,
2003-2,TOTAL,TOTAL,TOTAL,10906
2003-2,TOTAL,TOTAL,employed,7022
2003-2,TOTAL,TOTAL,unemployed,414
2003-2,TOTAL,TOTAL,non labourforce,3470
2003-2,TOTAL,employed,TOTAL,6959
2003-2,TOTAL,employed,employed,6742
2003-2,TOTAL,employed,unemployed,75
2003-2,TOTAL,employed,non labourforce,142
2003-2,TOTAL,unemployed,TOTAL,392
2003-2,TOTAL,unemployed,employed,85
2003-2,TOTAL,unemployed,unemployed,189
2003-2,TOTAL,unemployed,non labourforce,118
2003-2,TOTAL,non labourforce,TOTAL,3555
2003-2,TOTAL,non labourforce,employed,195
2003-2,TOTAL,non labourforce,unemployed,150
2003-2,TOTAL,non labourforce,non labourforce,3211
2003-2,Gender: male,TOTAL,TOTAL,5513
2003-2,Gender: male,TOTAL,employed,4146
2003-2,Gender: male,TOTAL,unemployed,197
2003-2,Gender: male,TOTAL,non labourforce,1170
2003-2,Gender: male,employed,TOTAL,4119
2003-2,Gender: male,employed,employed,4010
2003-2,Gender: male,employed,unemployed,40
2003-2,Gender: male,employed,non labourforce,69
2003-2,Gender: male,unemployed,TOTAL,198
2003-2,Gender: male,unemployed,employed,44
2003-2,Gender: male,unemployed,unemployed,99
2003-2,Gender: male,unemployed,non labourforce,54
2003-2,Gender: male,non labourforce,TOTAL,1196
2003-2,Gender: male,non labourforce,employed,91
2003-2,Gender: male,non labourforce,unemployed,59
2003-2,Gender: male,non labourforce,non labourforce,1046
2003-2,Gender: female,TOTAL,TOTAL,5393
2003-2,Gender: female,TOTAL,employed,2876
2003-2,Gender: female,TOTAL,unemployed,216
2003-2,Gender: female,TOTAL,non labourforce,2300
2003-2,Gender: female,employed,TOTAL,2839
2003-2,Gender: female,employed,employed,2732
2003-2,Gender: female,employed,unemployed,35
2003-2,Gender: female,employed,non labourforce,72
2003-2,Gender: female,unemployed,TOTAL,195
2003-2,Gender: female,unemployed,employed,41
2003-2,Gender: female,unemployed,unemployed,90
2003-2,Gender: female,unemployed,non labourforce,64
2003-2,Gender: female,non labourforce,TOTAL,2359
2003-2,Gender: female,non labourforce,employed,104
2003-2,Gender: female,non labourforce,unemployed,91
2003-2,Gender: female,non labourforce,non labourforce,2164
2003-2,Age: 15-25 years,TOTAL,TOTAL,1926
2003-2,Age: 15-25 years,TOTAL,employed,900
2003-2,Age: 15-25 years,TOTAL,unemployed,100
2003-2,Age: 15-25 years,TOTAL,non labourforce,925
2003-2,Age: 15-25 years,employed,TOTAL,805
2003-2,Age: 15-25 years,employed,employed,727
2003-2,Age: 15-25 years,employed,unemployed,15
2003-2,Age: 15-25 years,employed,non labourforce,63
2003-2,Age: 15-25 years,unemployed,TOTAL,99
2003-2,Age: 15-25 years,unemployed,employed,31
2003-2,Age: 15-25 years,unemployed,unemployed,27
2003-2,Age: 15-25 years,unemployed,non labourforce,40
2003-2,Age: 15-25 years,non labourforce,TOTAL,1022
2003-2,Age: 15-25 years,non labourforce,employed,142
2003-2,Age: 15-25 years,non labourforce,unemployed,58
2003-2,Age: 15-25 years,non labourforce,non labourforce,822
2003-2,Age: 25-45 years,TOTAL,TOTAL,4887
2003-2,Age: 25-45 years,TOTAL,employed,3864
2003-2,Age: 25-45 years,TOTAL,unemployed,204
2003-2,Age: 25-45 years,TOTAL,non labourforce,819
2003-2,Age: 25-45 years,employed,TOTAL,3867
2003-2,Age: 25-45 years,employed,employed,3785
2003-2,Age: 25-45 years,employed,unemployed,47
2003-2,Age: 25-45 years,employed,non labourforce,35
2003-2,Age: 25-45 years,unemployed,TOTAL,191
2003-2,Age: 25-45 years,unemployed,employed,44
2003-2,Age: 25-45 years,unemployed,unemployed,105
2003-2,Age: 25-45 years,unemployed,non labourforce,43
2003-2,Age: 25-45 years,non labourforce,TOTAL,828
2003-2,Age: 25-45 years,non labourforce,employed,35
2003-2,Age: 25-45 years,non labourforce,unemployed,51
2003-2,Age: 25-45 years,non labourforce,non labourforce,742
2003-2,Age: 45-65 years,TOTAL,TOTAL,4094
2003-2,Age: 45-65 years,TOTAL,employed,2258
2003-2,Age: 45-65 years,TOTAL,unemployed,110
2003-2,Age: 45-65 years,TOTAL,non labourforce,1726
2003-2,Age: 45-65 years,employed,TOTAL,2286
2003-2,Age: 45-65 years,employed,employed,2230
2003-2,Age: 45-65 years,employed,unemployed,13
2003-2,Age: 45-65 years,employed,non labourforce,43
2003-2,Age: 45-65 years,unemployed,TOTAL,102
2003-2,Age: 45-65 years,unemployed,employed,10
2003-2,Age: 45-65 years,unemployed,unemployed,57
2003-2,Age: 45-65 years,unemployed,non labourforce,35
2003-2,Age: 45-65 years,non labourforce,TOTAL,1706
2003-2,Age: 45-65 years,non labourforce,employed,19
2003-2,Age: 45-65 years,non labourforce,unemployed,40
2003-2,Age: 45-65 years,non labourforce,non labourforce,1647
2003-2,Education level: lower,TOTAL,TOTAL,3953
2003-2,Education level: lower,TOTAL,employed,1903
2003-2,Education level: lower,TOTAL,unemployed,164
2003-2,Education level: lower,TOTAL,non labourforce,1886
2003-2,Education level: lower,employed,TOTAL,1839
2003-2,Education level: lower,employed,employed,1763
2003-2,Education level: lower,employed,unemployed,20
2003-2,Education level: lower,employed,non labourforce,56
2003-2,Education level: lower,unemployed,TOTAL,158
2003-2,Education level: lower,unemployed,employed,30
2003-2,Education level: lower,unemployed,unemployed,72
2003-2,Education level: lower,unemployed,non labourforce,56
2003-2,Education level: lower,non labourforce,TOTAL,1955
2003-2,Education level: lower,non labourforce,employed,110
2003-2,Education level: lower,non labourforce,unemployed,71
2003-2,Education level: lower,non labourforce,non labourforce,1774
2003-2,Education level: middle,TOTAL,TOTAL,4515
2003-2,Education level: middle,TOTAL,employed,3151
2003-2,Education level: middle,TOTAL,unemployed,162
2003-2,Education level: middle,TOTAL,non labourforce,1202
2003-2,Education level: middle,employed,TOTAL,3146
2003-2,Education level: middle,employed,employed,3051
2003-2,Education level: middle,employed,unemployed,32
2003-2,Education level: middle,employed,non labourforce,63
2003-2,Education level: middle,unemployed,TOTAL,151
2003-2,Education level: middle,unemployed,employed,36
2003-2,Education level: middle,unemployed,unemployed,72
2003-2,Education level: middle,unemployed,non labourforce,44
2003-2,Education level: middle,non labourforce,TOTAL,1219
2003-2,Education level: middle,non labourforce,employed,65
2003-2,Education level: middle,non labourforce,unemployed,59
2003-2,Education level: middle,non labourforce,non labourforce,1095
2003-2,Education level: higher,TOTAL,TOTAL,2381
2003-2,Education level: higher,TOTAL,employed,1927
2003-2,Education level: higher,TOTAL,unemployed,84
2003-2,Education level: higher,TOTAL,non labourforce,371
2003-2,Education level: higher,employed,TOTAL,1935
2003-2,Education level: higher,employed,employed,1890
2003-2,Education level: higher,employed,unemployed,22
2003-2,Education level: higher,employed,non labourforce,23
2003-2,Education level: higher,unemployed,TOTAL,78
2003-2,Education level: higher,unemployed,employed,19
2003-2,Education level: higher,unemployed,unemployed,42
2003-2,Education level: higher,unemployed,non labourforce,17
2003-2,Education level: higher,non labourforce,TOTAL,369
2003-2,Education level: higher,non labourforce,employed,18
2003-2,Education level: higher,non labourforce,unemployed,19
2003-2,Education level: higher,non labourforce,non labourforce,331
2003-2,Education level: unknown,TOTAL,TOTAL,57
2003-2,Education level: unknown,TOTAL,employed,41
2003-2,Education level: unknown,TOTAL,unemployed,4
2003-2,Education level: unknown,TOTAL,non labourforce,12
2003-2,Education level: unknown,employed,TOTAL,39
2003-2,Education level: unknown,employed,employed,38
2003-2,Education level: unknown,employed,unemployed,
2003-2,Education level: unknown,employed,non labourforce,
2003-2,Education level: unknown,unemployed,TOTAL,5
2003-2,Education level: unknown,unemployed,employed,
2003-2,Education level: unknown,unemployed,unemployed,3
2003-2,Education level: unknown,unemployed,non labourforce,
2003-2,Education level: unknown,non labourforce,TOTAL,13
2003-2,Education level: unknown,non labourforce,employed,2
2003-2,Education level: unknown,non labourforce,unemployed,
2003-2,Education level: unknown,non labourforce,non labourforce,10
2003-2,Job level: elementary,TOTAL,TOTAL,569
2003-2,Job level: elementary,TOTAL,employed,531
2003-2,Job level: elementary,TOTAL,unemployed,10
2003-2,Job level: elementary,TOTAL,non labourforce,28
2003-2,Job level: elementary,employed,TOTAL,512
2003-2,Job level: elementary,employed,employed,474
2003-2,Job level: elementary,employed,unemployed,10
2003-2,Job level: elementary,employed,non labourforce,28
2003-2,Job level: elementary,unemployed,TOTAL,14
2003-2,Job level: elementary,unemployed,employed,14
2003-2,Job level: elementary,unemployed,unemployed,
2003-2,Job level: elementary,unemployed,non labourforce,
2003-2,Job level: elementary,non labourforce,TOTAL,44
2003-2,Job level: elementary,non labourforce,employed,44
2003-2,Job level: elementary,non labourforce,unemployed,
2003-2,Job level: elementary,non labourforce,non labourforce,
2003-2,Job level: lower,TOTAL,TOTAL,1793
2003-2,Job level: lower,TOTAL,employed,1721
2003-2,Job level: lower,TOTAL,unemployed,22
2003-2,Job level: lower,TOTAL,non labourforce,50
2003-2,Job level: lower,employed,TOTAL,1673
2003-2,Job level: lower,employed,employed,1601
2003-2,Job level: lower,employed,unemployed,22
2003-2,Job level: lower,employed,non labourforce,50
2003-2,Job level: lower,unemployed,TOTAL,35
2003-2,Job level: lower,unemployed,employed,35
2003-2,Job level: lower,unemployed,unemployed,
2003-2,Job level: lower,unemployed,non labourforce,
2003-2,Job level: lower,non labourforce,TOTAL,84
2003-2,Job level: lower,non labourforce,employed,84
2003-2,Job level: lower,non labourforce,unemployed,
2003-2,Job level: lower,non labourforce,non labourforce,
2003-2,Job level: middle,TOTAL,TOTAL,2737
2003-2,Job level: middle,TOTAL,employed,2681
2003-2,Job level: middle,TOTAL,unemployed,23
2003-2,Job level: middle,TOTAL,non labourforce,33
2003-2,Job level: middle,employed,TOTAL,2674
2003-2,Job level: middle,employed,employed,2618
2003-2,Job level: middle,employed,unemployed,23
2003-2,Job level: middle,employed,non labourforce,33
2003-2,Job level: middle,unemployed,TOTAL,19
2003-2,Job level: middle,unemployed,employed,19
2003-2,Job level: middle,unemployed,unemployed,
2003-2,Job level: middle,unemployed,non labourforce,
2003-2,Job level: middle,non labourforce,TOTAL,44
2003-2,Job level: middle,non labourforce,employed,44
2003-2,Job level: middle,non labourforce,unemployed,
2003-2,Job level: middle,non labourforce,non labourforce,
2003-2,Job level: higher,TOTAL,TOTAL,1467
2003-2,Job level: higher,TOTAL,employed,1432
2003-2,Job level: higher,TOTAL,unemployed,14
2003-2,Job level: higher,TOTAL,non labourforce,21
2003-2,Job level: higher,employed,TOTAL,1441
2003-2,Job level: higher,employed,employed,1406
2003-2,Job level: higher,employed,unemployed,14
2003-2,Job level: higher,employed,non labourforce,21
2003-2,Job level: higher,unemployed,TOTAL,12
2003-2,Job level: higher,unemployed,employed,12
2003-2,Job level: higher,unemployed,unemployed,
2003-2,Job level: higher,unemployed,non labourforce,
2003-2,Job level: higher,non labourforce,TOTAL,14
2003-2,Job level: higher,non labourforce,employed,14
2003-2,Job level: higher,non labourforce,unemployed,
2003-2,Job level: higher,non labourforce,non labourforce,
2003-2,Job level: scientific,TOTAL,TOTAL,582
2003-2,Job level: scientific,TOTAL,employed,570
2003-2,Job level: scientific,TOTAL,unemployed,6
2003-2,Job level: scientific,TOTAL,non labourforce,7
2003-2,Job level: scientific,employed,TOTAL,574
2003-2,Job level: scientific,employed,employed,562
2003-2,Job level: scientific,employed,unemployed,6
2003-2,Job level: scientific,employed,non labourforce,7
2003-2,Job level: scientific,unemployed,TOTAL,3
2003-2,Job level: scientific,unemployed,employed,3
2003-2,Job level: scientific,unemployed,unemployed,
2003-2,Job level: scientific,unemployed,non labourforce,
2003-2,Job level: scientific,non labourforce,TOTAL,5
2003-2,Job level: scientific,non labourforce,employed,5
2003-2,Job level: scientific,non labourforce,unemployed,
2003-2,Job level: scientific,non labourforce,non labourforce,
2003-3,TOTAL,TOTAL,TOTAL,10906
2003-3,TOTAL,TOTAL,employed,6945
2003-3,TOTAL,TOTAL,unemployed,417
2003-3,TOTAL,TOTAL,non labourforce,3544
2003-3,TOTAL,employed,TOTAL,7022
2003-3,TOTAL,employed,employed,6731
2003-3,TOTAL,employed,unemployed,83
2003-3,TOTAL,employed,non labourforce,208
2003-3,TOTAL,unemployed,TOTAL,414
2003-3,TOTAL,unemployed,employed,101
2003-3,TOTAL,unemployed,unemployed,203
2003-3,TOTAL,unemployed,non labourforce,110
2003-3,TOTAL,non labourforce,TOTAL,3470
2003-3,TOTAL,non labourforce,employed,114
2003-3,TOTAL,non labourforce,unemployed,130
2003-3,TOTAL,non labourforce,non labourforce,3227
2003-3,Gender: male,TOTAL,TOTAL,5512
2003-3,Gender: male,TOTAL,employed,4111
2003-3,Gender: male,TOTAL,unemployed,211
2003-3,Gender: male,TOTAL,non labourforce,1190
2003-3,Gender: male,employed,TOTAL,4146
2003-3,Gender: male,employed,employed,4001
2003-3,Gender: male,employed,unemployed,50
2003-3,Gender: male,employed,non labourforce,95
2003-3,Gender: male,unemployed,TOTAL,208
2003-3,Gender: male,unemployed,employed,54
2003-3,Gender: male,unemployed,unemployed,116
2003-3,Gender: male,unemployed,non labourforce,38
2003-3,Gender: male,non labourforce,TOTAL,1159
2003-3,Gender: male,non labourforce,employed,57
2003-3,Gender: male,non labourforce,unemployed,45
2003-3,Gender: male,non labourforce,non labourforce,1057
2003-3,Gender: female,TOTAL,TOTAL,5394
2003-3,Gender: female,TOTAL,employed,2834
2003-3,Gender: female,TOTAL,unemployed,206
2003-3,Gender: female,TOTAL,non labourforce,2354
2003-3,Gender: female,employed,TOTAL,2876
2003-3,Gender: female,employed,employed,2730
2003-3,Gender: female,employed,unemployed,33
2003-3,Gender: female,employed,non labourforce,113
2003-3,Gender: female,unemployed,TOTAL,206
2003-3,Gender: female,unemployed,employed,47
2003-3,Gender: female,unemployed,unemployed,87
2003-3,Gender: female,unemployed,non labourforce,72
2003-3,Gender: female,non labourforce,TOTAL,2312
2003-3,Gender: female,non labourforce,employed,57
2003-3,Gender: female,non labourforce,unemployed,85
2003-3,Gender: female,non labourforce,non labourforce,2169
2003-3,Age: 15-25 years,TOTAL,TOTAL,1925
2003-3,Age: 15-25 years,TOTAL,employed,817
2003-3,Age: 15-25 years,TOTAL,unemployed,85
2003-3,Age: 15-25 years,TOTAL,non labourforce,1023
2003-3,Age: 15-25 years,employed,TOTAL,856
2003-3,Age: 15-25 years,employed,employed,715
2003-3,Age: 15-25 years,employed,unemployed,23
2003-3,Age: 15-25 years,employed,non labourforce,117
2003-3,Age: 15-25 years,unemployed,TOTAL,101
2003-3,Age: 15-25 years,unemployed,employed,33
2003-3,Age: 15-25 years,unemployed,unemployed,25
2003-3,Age: 15-25 years,unemployed,non labourforce,42
2003-3,Age: 15-25 years,non labourforce,TOTAL,968
2003-3,Age: 15-25 years,non labourforce,employed,68
2003-3,Age: 15-25 years,non labourforce,unemployed,37
2003-3,Age: 15-25 years,non labourforce,non labourforce,864
2003-3,Age: 25-45 years,TOTAL,TOTAL,4874
2003-3,Age: 25-45 years,TOTAL,employed,3846
2003-3,Age: 25-45 years,TOTAL,unemployed,224
2003-3,Age: 25-45 years,TOTAL,non labourforce,805
2003-3,Age: 25-45 years,employed,TOTAL,3851
2003-3,Age: 25-45 years,employed,employed,3763
2003-3,Age: 25-45 years,employed,unemployed,45
2003-3,Age: 25-45 years,employed,non labourforce,43
2003-3,Age: 25-45 years,unemployed,TOTAL,213
2003-3,Age: 25-45 years,unemployed,employed,56
2003-3,Age: 25-45 years,unemployed,unemployed,119
2003-3,Age: 25-45 years,unemployed,non labourforce,38
2003-3,Age: 25-45 years,non labourforce,TOTAL,810
2003-3,Age: 25-45 years,non labourforce,employed,26
2003-3,Age: 25-45 years,non labourforce,unemployed,60
2003-3,Age: 25-45 years,non labourforce,non labourforce,724
2003-3,Age: 45-65 years,TOTAL,TOTAL,4107
2003-3,Age: 45-65 years,TOTAL,employed,2283
