"Van";"Naar";"Persoonskenmerken";"Perioden";"Waarde eenheid";"Waarde"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2008 1e kwartaal";"x 1 000";"10984"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2008 2e kwartaal";"x 1 000";"10992"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2008 3e kwartaal";"x 1 000";"11001"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2008 4e kwartaal";"x 1 000";"11010"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2009 1e kwartaal";"x 1 000";"11014"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2009 2e kwartaal";"x 1 000";"11014"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2009 3e kwartaal";"x 1 000";"11014"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2009 4e kwartaal";"x 1 000";"11013"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2010 1e kwartaal";"x 1 000";"11014"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2010 2e kwartaal";"x 1 000";"11016"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2010 3e kwartaal";"x 1 000";"11018"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2010 4e kwartaal";"x 1 000";"11020"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2011 1e kwartaal";"x 1 000";"11015"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen en vrouwen";"2011 2e kwartaal";"x 1 000";"11001"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2003 1e kwartaal";"x 1 000";"5507"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2003 2e kwartaal";"x 1 000";"5513"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2003 3e kwartaal";"x 1 000";"5512"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2003 4e kwartaal";"x 1 000";"5514"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2004 1e kwartaal";"x 1 000";"5516"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2004 2e kwartaal";"x 1 000";"5517"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2004 3e kwartaal";"x 1 000";"5516"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2004 4e kwartaal";"x 1 000";"5515"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2005 1e kwartaal";"x 1 000";"5516"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2005 2e kwartaal";"x 1 000";"5517"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2005 3e kwartaal";"x 1 000";"5518"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2005 4e kwartaal";"x 1 000";"5518"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2006 1e kwartaal";"x 1 000";"5518"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2006 2e kwartaal";"x 1 000";"5519"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2006 3e kwartaal";"x 1 000";"5510"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2006 4e kwartaal";"x 1 000";"5517"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2007 1e kwartaal";"x 1 000";"5521"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2007 2e kwartaal";"x 1 000";"5518"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2007 3e kwartaal";"x 1 000";"5519"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2007 4e kwartaal";"x 1 000";"5524"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2008 1e kwartaal";"x 1 000";"5527"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2008 2e kwartaal";"x 1 000";"5531"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2008 3e kwartaal";"x 1 000";"5535"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2008 4e kwartaal";"x 1 000";"5539"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2009 1e kwartaal";"x 1 000";"5540"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2009 2e kwartaal";"x 1 000";"5538"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2009 3e kwartaal";"x 1 000";"5536"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2009 4e kwartaal";"x 1 000";"5534"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2010 1e kwartaal";"x 1 000";"5533"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2010 2e kwartaal";"x 1 000";"5533"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2010 3e kwartaal";"x 1 000";"5533"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2010 4e kwartaal";"x 1 000";"5532"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2011 1e kwartaal";"x 1 000";"5529"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Mannen";"2011 2e kwartaal";"x 1 000";"5521"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2003 1e kwartaal";"x 1 000";"5385"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2003 2e kwartaal";"x 1 000";"5393"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2003 3e kwartaal";"x 1 000";"5394"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2003 4e kwartaal";"x 1 000";"5399"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2004 1e kwartaal";"x 1 000";"5403"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2004 2e kwartaal";"x 1 000";"5406"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2004 3e kwartaal";"x 1 000";"5411"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2004 4e kwartaal";"x 1 000";"5416"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2005 1e kwartaal";"x 1 000";"5419"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2005 2e kwartaal";"x 1 000";"5422"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2005 3e kwartaal";"x 1 000";"5423"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2005 4e kwartaal";"x 1 000";"5427"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2006 1e kwartaal";"x 1 000";"5430"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2006 2e kwartaal";"x 1 000";"5431"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2006 3e kwartaal";"x 1 000";"5441"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2006 4e kwartaal";"x 1 000";"5438"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2007 1e kwartaal";"x 1 000";"5439"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2007 2e kwartaal";"x 1 000";"5447"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2007 3e kwartaal";"x 1 000";"5452"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2007 4e kwartaal";"x 1 000";"5452"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2008 1e kwartaal";"x 1 000";"5457"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2008 2e kwartaal";"x 1 000";"5461"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2008 3e kwartaal";"x 1 000";"5466"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2008 4e kwartaal";"x 1 000";"5471"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2009 1e kwartaal";"x 1 000";"5474"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2009 2e kwartaal";"x 1 000";"5476"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2009 3e kwartaal";"x 1 000";"5478"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2009 4e kwartaal";"x 1 000";"5480"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2010 1e kwartaal";"x 1 000";"5482"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2010 2e kwartaal";"x 1 000";"5484"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2010 3e kwartaal";"x 1 000";"5486"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2010 4e kwartaal";"x 1 000";"5488"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2011 1e kwartaal";"x 1 000";"5486"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Geslacht: Vrouwen";"2011 2e kwartaal";"x 1 000";"5480"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2003 1e kwartaal";"x 1 000";"1927"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2003 2e kwartaal";"x 1 000";"1926"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2003 3e kwartaal";"x 1 000";"1925"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2003 4e kwartaal";"x 1 000";"1929"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2004 1e kwartaal";"x 1 000";"1934"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2004 2e kwartaal";"x 1 000";"1940"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2004 3e kwartaal";"x 1 000";"1937"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2004 4e kwartaal";"x 1 000";"1939"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2005 1e kwartaal";"x 1 000";"1938"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2005 2e kwartaal";"x 1 000";"1948"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2005 3e kwartaal";"x 1 000";"1939"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2005 4e kwartaal";"x 1 000";"1949"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2006 1e kwartaal";"x 1 000";"1938"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2006 2e kwartaal";"x 1 000";"1948"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2006 3e kwartaal";"x 1 000";"1955"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2006 4e kwartaal";"x 1 000";"1943"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2007 1e kwartaal";"x 1 000";"1957"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2007 2e kwartaal";"x 1 000";"1957"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2007 3e kwartaal";"x 1 000";"1962"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2007 4e kwartaal";"x 1 000";"1962"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2008 1e kwartaal";"x 1 000";"1969"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2008 2e kwartaal";"x 1 000";"1975"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2008 3e kwartaal";"x 1 000";"1981"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2008 4e kwartaal";"x 1 000";"1988"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2009 1e kwartaal";"x 1 000";"1992"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2009 2e kwartaal";"x 1 000";"1995"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2009 3e kwartaal";"x 1 000";"1998"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2009 4e kwartaal";"x 1 000";"2002"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2010 1e kwartaal";"x 1 000";"2004"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2010 2e kwartaal";"x 1 000";"2006"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2010 3e kwartaal";"x 1 000";"2007"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2010 4e kwartaal";"x 1 000";"2009"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2011 1e kwartaal";"x 1 000";"2010"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 15 tot 25 jaar";"2011 2e kwartaal";"x 1 000";"2010"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2003 1e kwartaal";"x 1 000";"4901"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2003 2e kwartaal";"x 1 000";"4887"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2003 3e kwartaal";"x 1 000";"4874"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2003 4e kwartaal";"x 1 000";"4857"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2004 1e kwartaal";"x 1 000";"4848"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2004 2e kwartaal";"x 1 000";"4817"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2004 3e kwartaal";"x 1 000";"4814"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2004 4e kwartaal";"x 1 000";"4798"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2005 1e kwartaal";"x 1 000";"4778"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2005 2e kwartaal";"x 1 000";"4756"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2005 3e kwartaal";"x 1 000";"4750"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2005 4e kwartaal";"x 1 000";"4728"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2006 1e kwartaal";"x 1 000";"4730"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2006 2e kwartaal";"x 1 000";"4704"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2006 3e kwartaal";"x 1 000";"4669"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2006 4e kwartaal";"x 1 000";"4665"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2007 1e kwartaal";"x 1 000";"4632"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2007 2e kwartaal";"x 1 000";"4620"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2007 3e kwartaal";"x 1 000";"4604"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2007 4e kwartaal";"x 1 000";"4597"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2008 1e kwartaal";"x 1 000";"4557"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2008 2e kwartaal";"x 1 000";"4542"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2008 3e kwartaal";"x 1 000";"4527"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2008 4e kwartaal";"x 1 000";"4512"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2009 1e kwartaal";"x 1 000";"4495"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2009 2e kwartaal";"x 1 000";"4477"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2009 3e kwartaal";"x 1 000";"4458"
"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"Leeftijd: 25 tot 45 jaar";"2009 4e kwartaal";"x 1 000";"4439"
