"tmp";"jaar";"herkomst";"geslacht";"leeftijd";"percentage";"aantal"
"A10 Diabetesmiddelen";"2006";"Totaal";"Vrouwen";"65 tot 75 jaar";"80433";"11.73"
"A10 Diabetesmiddelen";"2006";"Totaal";"Vrouwen";"75 of ouder";"108300";"14.79"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Totaal Mannen en vrouwen";"Totaal alle leeftijden";"495685";"3.71"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Totaal Mannen en vrouwen";"0 tot 15 jaar";"3137";"0.14"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Totaal Mannen en vrouwen";"15 tot 25 jaar";"4957";"0.33"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Totaal Mannen en vrouwen";"25 tot 35 jaar";"9118";"0.59"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Totaal Mannen en vrouwen";"35 tot 45 jaar";"23459";"1.13"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Totaal Mannen en vrouwen";"45 tot 55 jaar";"54124";"2.74"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Totaal Mannen en vrouwen";"55 tot 65 jaar";"116550";"6.64"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Totaal Mannen en vrouwen";"65 tot 75 jaar";"130463";"11.53"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Totaal Mannen en vrouwen";"75 of ouder";"153877";"14.55"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Mannen";"Totaal alle leeftijden";"243813";"3.69"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Mannen";"0 tot 15 jaar";"1584";"0.13"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Mannen";"15 tot 25 jaar";"2507";"0.33"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Mannen";"25 tot 35 jaar";"4578";"0.58"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Mannen";"35 tot 45 jaar";"13031";"1.24"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Mannen";"45 tot 55 jaar";"31902";"3.18"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Mannen";"55 tot 65 jaar";"67598";"7.63"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Mannen";"65 tot 75 jaar";"65745";"12.18"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Mannen";"75 of ouder";"56868";"14.39"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Vrouwen";"Totaal alle leeftijden";"251872";"3.73"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Vrouwen";"0 tot 15 jaar";"1553";"0.14"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Vrouwen";"15 tot 25 jaar";"2450";"0.33"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Vrouwen";"25 tot 35 jaar";"4540";"0.60"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Vrouwen";"35 tot 45 jaar";"10428";"1.02"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Vrouwen";"45 tot 55 jaar";"22222";"2.28"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Vrouwen";"55 tot 65 jaar";"48952";"5.63"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Vrouwen";"65 tot 75 jaar";"64718";"10.94"
"A10 Diabetesmiddelen";"2006";"Autochtoon";"Vrouwen";"75 of ouder";"97009";"14.65"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Totaal Mannen en vrouwen";"Totaal alle leeftijden";"130010";"3.96"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Totaal Mannen en vrouwen";"0 tot 15 jaar";"827";"0.12"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Totaal Mannen en vrouwen";"15 tot 25 jaar";"1395";"0.29"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Totaal Mannen en vrouwen";"25 tot 35 jaar";"3546";"0.64"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Totaal Mannen en vrouwen";"35 tot 45 jaar";"11837";"2.11"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Totaal Mannen en vrouwen";"45 tot 55 jaar";"25520";"6.18"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Totaal Mannen en vrouwen";"55 tot 65 jaar";"36978";"12.31"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Totaal Mannen en vrouwen";"65 tot 75 jaar";"32404";"17.39"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Totaal Mannen en vrouwen";"75 of ouder";"17503";"16.36"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Mannen";"Totaal alle leeftijden";"64255";"3.94"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Mannen";"0 tot 15 jaar";"411";"0.12"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Mannen";"15 tot 25 jaar";"666";"0.27"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Mannen";"25 tot 35 jaar";"1597";"0.60"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Mannen";"35 tot 45 jaar";"5959";"2.10"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Mannen";"45 tot 55 jaar";"12867";"6.30"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Mannen";"55 tot 65 jaar";"19854";"13.08"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Mannen";"65 tot 75 jaar";"16689";"18.03"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Mannen";"75 of ouder";"6212";"16.75"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Vrouwen";"Totaal alle leeftijden";"65755";"3.97"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Vrouwen";"0 tot 15 jaar";"416";"0.13"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Vrouwen";"15 tot 25 jaar";"729";"0.30"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Vrouwen";"25 tot 35 jaar";"1949";"0.68"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Vrouwen";"35 tot 45 jaar";"5878";"2.12"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Vrouwen";"45 tot 55 jaar";"12653";"6.06"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Vrouwen";"55 tot 65 jaar";"17124";"11.52"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Vrouwen";"65 tot 75 jaar";"15715";"16.75"
"A10 Diabetesmiddelen";"2006";"Totaal allochtoon";"Vrouwen";"75 of ouder";"11291";"16.16"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Totaal Mannen en vrouwen";"Totaal alle leeftijden";"59395";"3.99"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Totaal Mannen en vrouwen";"0 tot 15 jaar";"180";"0.09"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Totaal Mannen en vrouwen";"15 tot 25 jaar";"357";"0.23"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Totaal Mannen en vrouwen";"25 tot 35 jaar";"907";"0.41"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Totaal Mannen en vrouwen";"35 tot 45 jaar";"2593";"1.02"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Totaal Mannen en vrouwen";"45 tot 55 jaar";"6899";"3.08"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Totaal Mannen en vrouwen";"55 tot 65 jaar";"15980";"7.77"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Totaal Mannen en vrouwen";"65 tot 75 jaar";"18402";"13.15"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Totaal Mannen en vrouwen";"75 of ouder";"14077";"15.06"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Mannen";"Totaal alle leeftijden";"29382";"4.12"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Mannen";"0 tot 15 jaar";"90";"0.09"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Mannen";"15 tot 25 jaar";"179";"0.23"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Mannen";"25 tot 35 jaar";"438";"0.42"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Mannen";"35 tot 45 jaar";"1327";"1.08"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Mannen";"45 tot 55 jaar";"3863";"3.57"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Mannen";"55 tot 65 jaar";"9301";"9.03"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Mannen";"65 tot 75 jaar";"9246";"13.77"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Mannen";"75 of ouder";"4938";"15.49"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Vrouwen";"Totaal alle leeftijden";"30013";"3.88"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Vrouwen";"0 tot 15 jaar";"90";"0.10"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Vrouwen";"15 tot 25 jaar";"178";"0.22"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Vrouwen";"25 tot 35 jaar";"469";"0.40"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Vrouwen";"35 tot 45 jaar";"1266";"0.97"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Vrouwen";"45 tot 55 jaar";"3036";"2.62"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Vrouwen";"55 tot 65 jaar";"6679";"6.51"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Vrouwen";"65 tot 75 jaar";"9156";"12.57"
"A10 Diabetesmiddelen";"2006";"Westerse allochtoon";"Vrouwen";"75 of ouder";"9139";"14.83"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Totaal Mannen en vrouwen";"Totaal alle leeftijden";"70615";"3.93"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Totaal Mannen en vrouwen";"0 tot 15 jaar";"647";"0.13"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Totaal Mannen en vrouwen";"15 tot 25 jaar";"1038";"0.32"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Totaal Mannen en vrouwen";"25 tot 35 jaar";"2639";"0.79"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Totaal Mannen en vrouwen";"35 tot 45 jaar";"9244";"3.00"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Totaal Mannen en vrouwen";"45 tot 55 jaar";"18621";"9.86"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Totaal Mannen en vrouwen";"55 tot 65 jaar";"20998";"22.16"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Totaal Mannen en vrouwen";"65 tot 75 jaar";"14002";"30.19"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Totaal Mannen en vrouwen";"75 of ouder";"3426";"25.42"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Mannen";"Totaal alle leeftijden";"34873";"3.81"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Mannen";"0 tot 15 jaar";"321";"0.13"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Mannen";"15 tot 25 jaar";"487";"0.29"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Mannen";"25 tot 35 jaar";"1159";"0.71"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Mannen";"35 tot 45 jaar";"4632";"2.87"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Mannen";"45 tot 55 jaar";"9004";"9.39"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Mannen";"55 tot 65 jaar";"10553";"21.67"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Mannen";"65 tot 75 jaar";"7443";"29.32"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Mannen";"75 of ouder";"1274";"24.48"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Vrouwen";"Totaal alle leeftijden";"35742";"4.05"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Vrouwen";"0 tot 15 jaar";"326";"0.14"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Vrouwen";"15 tot 25 jaar";"551";"0.34"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Vrouwen";"25 tot 35 jaar";"1480";"0.87"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Vrouwen";"35 tot 45 jaar";"4612";"3.14"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Vrouwen";"45 tot 55 jaar";"9617";"10.34"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Vrouwen";"55 tot 65 jaar";"10445";"22.68"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Vrouwen";"65 tot 75 jaar";"6559";"31.24"
"A10 Diabetesmiddelen";"2006";"Totaal niet-westerse allochtoon";"Vrouwen";"75 of ouder";"2152";"26.01"
"A10 Diabetesmiddelen";"2006";"Marokko";"Totaal Mannen en vrouwen";"Totaal alle leeftijden";"16827";"5.02"
"A10 Diabetesmiddelen";"2006";"Marokko";"Totaal Mannen en vrouwen";"0 tot 15 jaar";"292";"0.27"
"A10 Diabetesmiddelen";"2006";"Marokko";"Totaal Mannen en vrouwen";"15 tot 25 jaar";"388";"0.64"
"A10 Diabetesmiddelen";"2006";"Marokko";"Totaal Mannen en vrouwen";"25 tot 35 jaar";"683";"1.08"
"A10 Diabetesmiddelen";"2006";"Marokko";"Totaal Mannen en vrouwen";"35 tot 45 jaar";"1919";"3.85"
"A10 Diabetesmiddelen";"2006";"Marokko";"Totaal Mannen en vrouwen";"45 tot 55 jaar";"3731";"14.74"
"A10 Diabetesmiddelen";"2006";"Marokko";"Totaal Mannen en vrouwen";"55 tot 65 jaar";"4966";"30.68"
"A10 Diabetesmiddelen";"2006";"Marokko";"Totaal Mannen en vrouwen";"65 tot 75 jaar";"4350";"39.16"
"A10 Diabetesmiddelen";"2006";"Marokko";"Totaal Mannen en vrouwen";"75 of ouder";"498";"36.48"
"A10 Diabetesmiddelen";"2006";"Marokko";"Mannen";"Totaal alle leeftijden";"8793";"5.02"
"A10 Diabetesmiddelen";"2006";"Marokko";"Mannen";"0 tot 15 jaar";"157";"0.29"
"A10 Diabetesmiddelen";"2006";"Marokko";"Mannen";"15 tot 25 jaar";"204";"0.68"
"A10 Diabetesmiddelen";"2006";"Marokko";"Mannen";"25 tot 35 jaar";"303";"0.99"
"A10 Diabetesmiddelen";"2006";"Marokko";"Mannen";"35 tot 45 jaar";"958";"3.35"
"A10 Diabetesmiddelen";"2006";"Marokko";"Mannen";"45 tot 55 jaar";"1491";"11.50"
"A10 Diabetesmiddelen";"2006";"Marokko";"Mannen";"55 tot 65 jaar";"2728";"27.88"
"A10 Diabetesmiddelen";"2006";"Marokko";"Mannen";"65 tot 75 jaar";"2643";"36.29"
"A10 Diabetesmiddelen";"2006";"Marokko";"Mannen";"75 of ouder";"309";"34.41"
"A10 Diabetesmiddelen";"2006";"Marokko";"Vrouwen";"Totaal alle leeftijden";"8034";"5.01"
"A10 Diabetesmiddelen";"2006";"Marokko";"Vrouwen";"0 tot 15 jaar";"135";"0.26"
"A10 Diabetesmiddelen";"2006";"Marokko";"Vrouwen";"15 tot 25 jaar";"184";"0.60"
"A10 Diabetesmiddelen";"2006";"Marokko";"Vrouwen";"25 tot 35 jaar";"380";"1.17"
"A10 Diabetesmiddelen";"2006";"Marokko";"Vrouwen";"35 tot 45 jaar";"961";"4.54"
"A10 Diabetesmiddelen";"2006";"Marokko";"Vrouwen";"45 tot 55 jaar";"2240";"18.15"
"A10 Diabetesmiddelen";"2006";"Marokko";"Vrouwen";"55 tot 65 jaar";"2238";"34.97"
"A10 Diabetesmiddelen";"2006";"Marokko";"Vrouwen";"65 tot 75 jaar";"1707";"44.63"
"A10 Diabetesmiddelen";"2006";"Marokko";"Vrouwen";"75 of ouder";"189";"40.47"
"A10 Diabetesmiddelen";"2006";"Turkije";"Totaal Mannen en vrouwen";"Totaal alle leeftijden";"14525";"3.87"
"A10 Diabetesmiddelen";"2006";"Turkije";"Totaal Mannen en vrouwen";"0 tot 15 jaar";"101";"0.10"
"A10 Diabetesmiddelen";"2006";"Turkije";"Totaal Mannen en vrouwen";"15 tot 25 jaar";"135";"0.20"
"A10 Diabetesmiddelen";"2006";"Turkije";"Totaal Mannen en vrouwen";"25 tot 35 jaar";"454";"0.61"
"A10 Diabetesmiddelen";"2006";"Turkije";"Totaal Mannen en vrouwen";"35 tot 45 jaar";"1968";"2.92"
"A10 Diabetesmiddelen";"2006";"Turkije";"Totaal Mannen en vrouwen";"45 tot 55 jaar";"3208";"10.63"
"A10 Diabetesmiddelen";"2006";"Turkije";"Totaal Mannen en vrouwen";"55 tot 65 jaar";"4702";"24.77"
"A10 Diabetesmiddelen";"2006";"Turkije";"Totaal Mannen en vrouwen";"65 tot 75 jaar";"3564";"29.80"
"A10 Diabetesmiddelen";"2006";"Turkije";"Totaal Mannen en vrouwen";"75 of ouder";"393";"23.55"
"A10 Diabetesmiddelen";"2006";"Turkije";"Mannen";"Totaal alle leeftijden";"7205";"3.70"
"A10 Diabetesmiddelen";"2006";"Turkije";"Mannen";"0 tot 15 jaar";"44";"0.08"
"A10 Diabetesmiddelen";"2006";"Turkije";"Mannen";"15 tot 25 jaar";"56";"0.17"
"A10 Diabetesmiddelen";"2006";"Turkije";"Mannen";"25 tot 35 jaar";"187";"0.50"
"A10 Diabetesmiddelen";"2006";"Turkije";"Mannen";"35 tot 45 jaar";"1046";"2.84"
"A10 Diabetesmiddelen";"2006";"Turkije";"Mannen";"45 tot 55 jaar";"1525";"9.26"
"A10 Diabetesmiddelen";"2006";"Turkije";"Mannen";"55 tot 65 jaar";"2153";"23.41"
"A10 Diabetesmiddelen";"2006";"Turkije";"Mannen";"65 tot 75 jaar";"2061";"28.19"
"A10 Diabetesmiddelen";"2006";"Turkije";"Mannen";"75 of ouder";"133";"20.27"
"A10 Diabetesmiddelen";"2006";"Turkije";"Vrouwen";"Totaal alle leeftijden";"7320";"4.06"
"A10 Diabetesmiddelen";"2006";"Turkije";"Vrouwen";"0 tot 15 jaar";"57";"0.11"
"A10 Diabetesmiddelen";"2006";"Turkije";"Vrouwen";"15 tot 25 jaar";"79";"0.24"
"A10 Diabetesmiddelen";"2006";"Turkije";"Vrouwen";"25 tot 35 jaar";"267";"0.72"
"A10 Diabetesmiddelen";"2006";"Turkije";"Vrouwen";"35 tot 45 jaar";"922";"3.02"
"A10 Diabetesmiddelen";"2006";"Turkije";"Vrouwen";"45 tot 55 jaar";"1683";"12.27"
"A10 Diabetesmiddelen";"2006";"Turkije";"Vrouwen";"55 tot 65 jaar";"2549";"26.04"
"A10 Diabetesmiddelen";"2006";"Turkije";"Vrouwen";"65 tot 75 jaar";"1503";"32.34"
"A10 Diabetesmiddelen";"2006";"Turkije";"Vrouwen";"75 of ouder";"260";"25.67"
"A10 Diabetesmiddelen";"2006";"Suriname";"Totaal Mannen en vrouwen";"Totaal alle leeftijden";"21133";"6.21"
"A10 Diabetesmiddelen";"2006";"Suriname";"Totaal Mannen en vrouwen";"0 tot 15 jaar";"57";"0.08"
"A10 Diabetesmiddelen";"2006";"Suriname";"Totaal Mannen en vrouwen";"15 tot 25 jaar";"166";"0.28"
"A10 Diabetesmiddelen";"2006";"Suriname";"Totaal Mannen en vrouwen";"25 tot 35 jaar";"673";"1.25"
"A10 Diabetesmiddelen";"2006";"Suriname";"Totaal Mannen en vrouwen";"35 tot 45 jaar";"2633";"4.23"
"A10 Diabetesmiddelen";"2006";"Suriname";"Totaal Mannen en vrouwen";"45 tot 55 jaar";"6091";"12.11"
"A10 Diabetesmiddelen";"2006";"Suriname";"Totaal Mannen en vrouwen";"55 tot 65 jaar";"6342";"24.89"
"A10 Diabetesmiddelen";"2006";"Suriname";"Totaal Mannen en vrouwen";"65 tot 75 jaar";"3590";"30.95"
"A10 Diabetesmiddelen";"2006";"Suriname";"Totaal Mannen en vrouwen";"75 of ouder";"1581";"27.53"
"A10 Diabetesmiddelen";"2006";"Suriname";"Mannen";"Totaal alle leeftijden";"9493";"5.81"
"A10 Diabetesmiddelen";"2006";"Suriname";"Mannen";"0 tot 15 jaar";"34";"0.09"
"A10 Diabetesmiddelen";"2006";"Suriname";"Mannen";"15 tot 25 jaar";"58";"0.19"
"A10 Diabetesmiddelen";"2006";"Suriname";"Mannen";"25 tot 35 jaar";"301";"1.17"
"A10 Diabetesmiddelen";"2006";"Suriname";"Mannen";"35 tot 45 jaar";"1149";"4.00"
"A10 Diabetesmiddelen";"2006";"Suriname";"Mannen";"45 tot 55 jaar";"2875";"12.41"
"A10 Diabetesmiddelen";"2006";"Suriname";"Mannen";"55 tot 65 jaar";"3066";"25.19"
"A10 Diabetesmiddelen";"2006";"Suriname";"Mannen";"65 tot 75 jaar";"1539";"30.02"
"A10 Diabetesmiddelen";"2006";"Suriname";"Mannen";"75 of ouder";"471";"24.54"
"A10 Diabetesmiddelen";"2006";"Suriname";"Vrouwen";"Totaal alle leeftijden";"11640";"6.58"
"A10 Diabetesmiddelen";"2006";"Suriname";"Vrouwen";"0 tot 15 jaar";"23";"0.07"
"A10 Diabetesmiddelen";"2006";"Suriname";"Vrouwen";"15 tot 25 jaar";"108";"0.36"
"A10 Diabetesmiddelen";"2006";"Suriname";"Vrouwen";"25 tot 35 jaar";"372";"1.32"
"A10 Diabetesmiddelen";"2006";"Suriname";"Vrouwen";"35 tot 45 jaar";"1484";"4.43"
"A10 Diabetesmiddelen";"2006";"Suriname";"Vrouwen";"45 tot 55 jaar";"3216";"11.85"
"A10 Diabetesmiddelen";"2006";"Suriname";"Vrouwen";"55 tot 65 jaar";"3276";"24.61"
"A10 Diabetesmiddelen";"2006";"Suriname";"Vrouwen";"65 tot 75 jaar";"2051";"31.70"
"A10 Diabetesmiddelen";"2006";"Suriname";"Vrouwen";"75 of ouder";"1110";"29.03"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Totaal Mannen en vrouwen";"Totaal alle leeftijden";"4211";"3.08"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Totaal Mannen en vrouwen";"0 tot 15 jaar";"44";"0.13"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Totaal Mannen en vrouwen";"15 tot 25 jaar";"92";"0.33"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Totaal Mannen en vrouwen";"25 tot 35 jaar";"208";"0.81"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Totaal Mannen en vrouwen";"35 tot 45 jaar";"479";"2.34"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Totaal Mannen en vrouwen";"45 tot 55 jaar";"1111";"7.11"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Totaal Mannen en vrouwen";"55 tot 65 jaar";"1368";"15.88"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Totaal Mannen en vrouwen";"65 tot 75 jaar";"666";"23.46"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Totaal Mannen en vrouwen";"75 of ouder";"243";"24.25"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Mannen";"Totaal alle leeftijden";"1639";"2.40"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Mannen";"0 tot 15 jaar";"14";"0.08"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Mannen";"15 tot 25 jaar";"42";"0.30"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Mannen";"25 tot 35 jaar";"90";"0.68"
"A10 Diabetesmiddelen";"2006";"(voormalige) Nederlandse Antillen, Aruba";"Mannen";"35 tot 45 jaar";"193";"1.85"
