"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Politieregio";"Perioden";"Cijfersoort";"Waarde eenheid";"Waarde"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Drenthe (PO)";"2009";"Waarde";"% 'komt vaak voor'";"8.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Drenthe (PO)";"2010";"Waarde";"% 'komt vaak voor'";"5.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Drenthe (PO)";"2011";"Waarde";"% 'komt vaak voor'";"6.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"IJsselland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"7.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"IJsselland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"7.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"IJsselland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"6.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"IJsselland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"6.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Twente (PO)";"2008";"Waarde";"% 'komt vaak voor'";"8.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Twente (PO)";"2009";"Waarde";"% 'komt vaak voor'";"8.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Twente (PO)";"2010";"Waarde";"% 'komt vaak voor'";"7.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Twente (PO)";"2011";"Waarde";"% 'komt vaak voor'";"8.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Noord- en Oost-Gelderland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"6.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Noord- en Oost-Gelderland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"7.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Noord- en Oost-Gelderland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"6.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Noord- en Oost-Gelderland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"6.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gelderland-Midden (PO)";"2008";"Waarde";"% 'komt vaak voor'";"7.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gelderland-Midden (PO)";"2009";"Waarde";"% 'komt vaak voor'";"10.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gelderland-Midden (PO)";"2010";"Waarde";"% 'komt vaak voor'";"9.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gelderland-Midden (PO)";"2011";"Waarde";"% 'komt vaak voor'";"8.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gelderland-Zuid (PO)";"2008";"Waarde";"% 'komt vaak voor'";"9.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gelderland-Zuid (PO)";"2009";"Waarde";"% 'komt vaak voor'";"10.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gelderland-Zuid (PO)";"2010";"Waarde";"% 'komt vaak voor'";"9.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gelderland-Zuid (PO)";"2011";"Waarde";"% 'komt vaak voor'";"10.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Utrecht (PO)";"2008";"Waarde";"% 'komt vaak voor'";"12.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Utrecht (PO)";"2009";"Waarde";"% 'komt vaak voor'";"13.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Utrecht (PO)";"2010";"Waarde";"% 'komt vaak voor'";"10.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Utrecht (PO)";"2011";"Waarde";"% 'komt vaak voor'";"11.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Noord-Holland-Noord (PO)";"2008";"Waarde";"% 'komt vaak voor'";"10.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Noord-Holland-Noord (PO)";"2009";"Waarde";"% 'komt vaak voor'";"11.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Noord-Holland-Noord (PO)";"2010";"Waarde";"% 'komt vaak voor'";"10.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Noord-Holland-Noord (PO)";"2011";"Waarde";"% 'komt vaak voor'";"10.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zaanstreek-Waterland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"16.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zaanstreek-Waterland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"14.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zaanstreek-Waterland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"16.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zaanstreek-Waterland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"14.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Kennemerland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"11.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Kennemerland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"13.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Kennemerland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"14.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Kennemerland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"11.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Amsterdam-Amstelland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"18.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Amsterdam-Amstelland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"19.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Amsterdam-Amstelland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"19.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Amsterdam-Amstelland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"16.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gooi en Vechtstreek (PO)";"2008";"Waarde";"% 'komt vaak voor'";"9.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gooi en Vechtstreek (PO)";"2009";"Waarde";"% 'komt vaak voor'";"12.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gooi en Vechtstreek (PO)";"2010";"Waarde";"% 'komt vaak voor'";"11.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Gooi en Vechtstreek (PO)";"2011";"Waarde";"% 'komt vaak voor'";"11.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Haaglanden (PO)";"2008";"Waarde";"% 'komt vaak voor'";"16.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Haaglanden (PO)";"2009";"Waarde";"% 'komt vaak voor'";"16.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Haaglanden (PO)";"2010";"Waarde";"% 'komt vaak voor'";"16.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Haaglanden (PO)";"2011";"Waarde";"% 'komt vaak voor'";"16.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Hollands Midden (PO)";"2008";"Waarde";"% 'komt vaak voor'";"11.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Hollands Midden (PO)";"2009";"Waarde";"% 'komt vaak voor'";"11.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Hollands Midden (PO)";"2010";"Waarde";"% 'komt vaak voor'";"10.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Hollands Midden (PO)";"2011";"Waarde";"% 'komt vaak voor'";"11.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Rotterdam-Rijnmond (PO)";"2008";"Waarde";"% 'komt vaak voor'";"18.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Rotterdam-Rijnmond (PO)";"2009";"Waarde";"% 'komt vaak voor'";"17.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Rotterdam-Rijnmond (PO)";"2010";"Waarde";"% 'komt vaak voor'";"17.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Rotterdam-Rijnmond (PO)";"2011";"Waarde";"% 'komt vaak voor'";"16.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zuid-Holland-Zuid (PO)";"2008";"Waarde";"% 'komt vaak voor'";"12.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zuid-Holland-Zuid (PO)";"2009";"Waarde";"% 'komt vaak voor'";"13.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zuid-Holland-Zuid (PO)";"2010";"Waarde";"% 'komt vaak voor'";"11.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zuid-Holland-Zuid (PO)";"2011";"Waarde";"% 'komt vaak voor'";"11.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zeeland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"7.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zeeland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"9.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zeeland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"6.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Zeeland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"5.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Midden- en West-Brabant (PO)";"2008";"Waarde";"% 'komt vaak voor'";"11.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Midden- en West-Brabant (PO)";"2009";"Waarde";"% 'komt vaak voor'";"11.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Midden- en West-Brabant (PO)";"2010";"Waarde";"% 'komt vaak voor'";"10.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Midden- en West-Brabant (PO)";"2011";"Waarde";"% 'komt vaak voor'";"11.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Brabant-Noord (PO)";"2008";"Waarde";"% 'komt vaak voor'";"7.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Brabant-Noord (PO)";"2009";"Waarde";"% 'komt vaak voor'";"8.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Brabant-Noord (PO)";"2010";"Waarde";"% 'komt vaak voor'";"7.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Brabant-Noord (PO)";"2011";"Waarde";"% 'komt vaak voor'";"8.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Brabant-Zuidoost (PO)";"2008";"Waarde";"% 'komt vaak voor'";"9.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Brabant-Zuidoost (PO)";"2009";"Waarde";"% 'komt vaak voor'";"10.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Brabant-Zuidoost (PO)";"2010";"Waarde";"% 'komt vaak voor'";"10.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Brabant-Zuidoost (PO)";"2011";"Waarde";"% 'komt vaak voor'";"10.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Limburg-Noord (PO)";"2008";"Waarde";"% 'komt vaak voor'";"8.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Limburg-Noord (PO)";"2009";"Waarde";"% 'komt vaak voor'";"9.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Limburg-Noord (PO)";"2010";"Waarde";"% 'komt vaak voor'";"10.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Limburg-Noord (PO)";"2011";"Waarde";"% 'komt vaak voor'";"9.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Limburg-Zuid (PO)";"2008";"Waarde";"% 'komt vaak voor'";"12.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Limburg-Zuid (PO)";"2009";"Waarde";"% 'komt vaak voor'";"15.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Limburg-Zuid (PO)";"2010";"Waarde";"% 'komt vaak voor'";"16.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Limburg-Zuid (PO)";"2011";"Waarde";"% 'komt vaak voor'";"12.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Flevoland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"9.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Flevoland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"12.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Flevoland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"10.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Overlast van groepen jongeren";"Flevoland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"11.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Nederland";"2008";"Waarde";"% 'komt vaak voor'";"2.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Nederland";"2009";"Waarde";"% 'komt vaak voor'";"2.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Nederland";"2010";"Waarde";"% 'komt vaak voor'";"2.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Nederland";"2011";"Waarde";"% 'komt vaak voor'";"2.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Groningen (PO)";"2008";"Waarde";"% 'komt vaak voor'";"1.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Groningen (PO)";"2009";"Waarde";"% 'komt vaak voor'";"2.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Groningen (PO)";"2010";"Waarde";"% 'komt vaak voor'";"1.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Groningen (PO)";"2011";"Waarde";"% 'komt vaak voor'";"1.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Friesland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"1.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Friesland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Friesland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"0.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Friesland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"0.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Drenthe (PO)";"2008";"Waarde";"% 'komt vaak voor'";"0.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Drenthe (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Drenthe (PO)";"2010";"Waarde";"% 'komt vaak voor'";"1.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Drenthe (PO)";"2011";"Waarde";"% 'komt vaak voor'";"0.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"IJsselland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"0.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"IJsselland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"IJsselland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"1.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"IJsselland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"0.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Twente (PO)";"2008";"Waarde";"% 'komt vaak voor'";"1.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Twente (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Twente (PO)";"2010";"Waarde";"% 'komt vaak voor'";"0.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Twente (PO)";"2011";"Waarde";"% 'komt vaak voor'";"1.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Noord- en Oost-Gelderland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"0.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Noord- en Oost-Gelderland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Noord- en Oost-Gelderland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"0.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Noord- en Oost-Gelderland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"1.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gelderland-Midden (PO)";"2008";"Waarde";"% 'komt vaak voor'";"1.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gelderland-Midden (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gelderland-Midden (PO)";"2010";"Waarde";"% 'komt vaak voor'";"1.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gelderland-Midden (PO)";"2011";"Waarde";"% 'komt vaak voor'";"2.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gelderland-Zuid (PO)";"2008";"Waarde";"% 'komt vaak voor'";"2.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gelderland-Zuid (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gelderland-Zuid (PO)";"2010";"Waarde";"% 'komt vaak voor'";"2.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gelderland-Zuid (PO)";"2011";"Waarde";"% 'komt vaak voor'";"1.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Utrecht (PO)";"2008";"Waarde";"% 'komt vaak voor'";"2.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Utrecht (PO)";"2009";"Waarde";"% 'komt vaak voor'";"2.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Utrecht (PO)";"2010";"Waarde";"% 'komt vaak voor'";"1.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Utrecht (PO)";"2011";"Waarde";"% 'komt vaak voor'";"3.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Noord-Holland-Noord (PO)";"2008";"Waarde";"% 'komt vaak voor'";"2.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Noord-Holland-Noord (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Noord-Holland-Noord (PO)";"2010";"Waarde";"% 'komt vaak voor'";"2.1"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Noord-Holland-Noord (PO)";"2011";"Waarde";"% 'komt vaak voor'";"1.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Zaanstreek-Waterland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"1.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Zaanstreek-Waterland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Zaanstreek-Waterland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"1.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Zaanstreek-Waterland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"2.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Kennemerland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"1.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Kennemerland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Kennemerland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"1.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Kennemerland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"1.5"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Amsterdam-Amstelland (PO)";"2008";"Waarde";"% 'komt vaak voor'";"4.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Amsterdam-Amstelland (PO)";"2009";"Waarde";"% 'komt vaak voor'";"4.8"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Amsterdam-Amstelland (PO)";"2010";"Waarde";"% 'komt vaak voor'";"5.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Amsterdam-Amstelland (PO)";"2011";"Waarde";"% 'komt vaak voor'";"5.0"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gooi en Vechtstreek (PO)";"2008";"Waarde";"% 'komt vaak voor'";"1.3"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gooi en Vechtstreek (PO)";"2009";"Waarde";"% 'komt vaak voor'";"1.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gooi en Vechtstreek (PO)";"2010";"Waarde";"% 'komt vaak voor'";"1.2"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Gooi en Vechtstreek (PO)";"2011";"Waarde";"% 'komt vaak voor'";"1.6"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Haaglanden (PO)";"2008";"Waarde";"% 'komt vaak voor'";"3.4"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Haaglanden (PO)";"2009";"Waarde";"% 'komt vaak voor'";"3.7"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Haaglanden (PO)";"2010";"Waarde";"% 'komt vaak voor'";"3.9"
"Buurtproblemen";"Dreiging en sociale overlast";"Mensen worden op straat lastig gevallen";"Haaglanden (PO)";"2011";"Waarde";"% 'komt vaak voor'";"4.2"
