"Perioden";"Persoonskenmerken";"Onderwerpen_1";"Arbeidspositie einde periode";"Waarde eenheid";"Waarde"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"4122"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"193"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"1192"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"4109"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"4015"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"40"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"54"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"187"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"48"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"95"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"43"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1212"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"59"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"58"
"2003 1e kwartaal";"Geslacht: Mannen";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"1094"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"5385"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2836"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"199"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"2350"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2836"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2734"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"35"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"66"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"175"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"36"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"81"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"58"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2375"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"66"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"83"
"2003 1e kwartaal";"Geslacht: Vrouwen";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"2226"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1927"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"837"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"98"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"992"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"784"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"735"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"15"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"35"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"82"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"28"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"27"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"27"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1060"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"74"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"56"
"2003 1e kwartaal";"Leeftijd: 15 tot 25 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"930"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"4901"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"3859"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"197"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"845"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"3870"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"3785"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"45"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"40"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"185"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"42"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"94"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"49"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"846"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"32"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"58"
"2003 1e kwartaal";"Leeftijd: 25 tot 45 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"756"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"4065"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2263"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"97"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"1706"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2290"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2230"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"15"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"45"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"95"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"14"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"55"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"26"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1680"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"19"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"28"
"2003 1e kwartaal";"Leeftijd: 45 tot 65 jaar";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"1634"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"3948"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"1864"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"158"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"1926"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1841"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"1779"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"21"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"41"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"137"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"24"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"64"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"49"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1970"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"61"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"73"
"2003 1e kwartaal";"Opleidingsniveau: Lager onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"1836"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"4507"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"3138"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"147"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"1222"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"3137"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"3047"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"34"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"57"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"143"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"41"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"65"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"37"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1227"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"50"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"49"
"2003 1e kwartaal";"Opleidingsniveau: Middelbaar onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"1128"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"2365"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"1904"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"81"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"380"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"1916"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"1874"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"19"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"23"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"74"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"17"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"44"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"12"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"375"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"13"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"17"
"2003 1e kwartaal";"Opleidingsniveau: Hoger onderwijs";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"345"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"73"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"53"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"5"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"15"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"51"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"50"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"."
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"."
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkloze beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"7"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkloze beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"2"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkloze beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"2"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, werkloze beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"3"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, niet-beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"15"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, niet-beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"."
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, niet-beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"2"
"2003 1e kwartaal";"Opleidingsniveau:Onbekend";"Begin periode, niet-beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"11"
"2003 1e kwartaal";"Beroepsniveau: Elementair";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"535"
"2003 1e kwartaal";"Beroepsniveau: Elementair";"Begin periode, totaal 15 tot 65 jaar";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"509"
"2003 1e kwartaal";"Beroepsniveau: Elementair";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, werkloze beroepsbevolking";"x 1 000";"8"
"2003 1e kwartaal";"Beroepsniveau: Elementair";"Begin periode, totaal 15 tot 65 jaar";"Einde periode, niet-beroepsbevolking";"x 1 000";"18"
"2003 1e kwartaal";"Beroepsniveau: Elementair";"Begin periode, werkzame beroepsbevolking";"Einde periode, totaal 15 tot 65 jaar";"x 1 000";"489"
"2003 1e kwartaal";"Beroepsniveau: Elementair";"Begin periode, werkzame beroepsbevolking";"Einde periode ,werkzame beroepsbevolking";"x 1 000";"463"
"2003 1e kwartaal";"Beroepsniveau: Elementair";"Begin periode, werkzame beroepsbevolking";"Einde periode, werkloze beroepsbevolking";"x 1 000";"8"
"2003 1e kwartaal";"Beroepsniveau: Elementair";"Begin periode, werkzame beroepsbevolking";"Einde periode, niet-beroepsbevolking";"x 1 000";"18"
